,Text,Class
10,aibharat a startup backed by microsoft raising million from venture capital firms peak xv lightspeed venture to develop artificial intelligencepowered chatbots for indian languages according to three people familiar with matterthe largerthanusual seed funding round underscores growing interest in generative ai after openai’s chatgpt dazzled users with its ability to engage in humanlike conversations most seed rounds usually up to million to million aibharat which also backed by indian government has been developing ai models for speech recognition translation also read tcs to train engineers on generative artificial intelligence tools it unveiled in may a mobile assistant that aims to make information on government schemes accessible in multiple languagesthe funding will be used to train its models on more data an expensive endeavor for ai ventures create conversational bots through partnerships with government agencies sources saidaibharat peak xv lightspeed did not immediately respond to reuters’ requests for comment also read amazon google apple meta microsoft say they meet eu gatekeeper status incubated at indian institute of technology in madras supported by a grant from infosys cofounder nandan nilekani aibharat also working with payments agency national payments corp of india to develop systems for voicebased payments on feature phonesthe investment among first from peak xv partners after rebranding from sequoia capital india sea following a split with its usbased parent fund last month also read nasscom it sector gccs on a hiring spree it firms look at their bench for talent adani wilmar qfy new launches whole wheat rice brand penetration premium quality horeca clients sales performance risk management branded food products adani wilmar’s qfy report new launches that drove first quarter tata steel steel production crude steel revenue deliveries domestic deliveries automotive commercial vehicles industrial products branded products tata steel aashiyana tata steel qfy update india steel production at mt up onyear nykaa fsn ecommerce ventures qfy quarter results revenue growth beauty personal care apparel nykaa fashion inflation bpc business slowdown discretionary spending order volume nykaa qfy update revenue to grow in midtwenties beauty personal care category eyeing growth in early twenties peak xv’s other ai investments include voice assistant firm ai rudder computer vision firm mad street den enterprise marketing platform insider according to its websitethe buzz around generative ai among both consumers businesses has helped related startups draw funding even as an uncertain economy saps investments for other companiesindian ai startups have raised million this year as of june according to data from venture intelligence they raised a total of billion last year,business
11,crisishit jaypee group’s flagship firm jaiprakash associates has defaulted on loans worth rs crore including principal interest amount in a regulatory filing on friday jaiprakash associates ltd jal informed that company on june th defaulted on repayments of a principal amount of rs crore interest of rs crore also read mcdonald’s india says not price hike but nonavailability of quality tomatoes led to its suspension from menu loans pertained to various banks nature of obligation fundbased working capital nonfundbased working capital term loans fccb foreign currency convertible bonds also read nasscom it sector gccs on a hiring spree it firms look at their bench for talent adani wilmar qfy new launches whole wheat rice brand penetration premium quality horeca clients sales performance risk management branded food products adani wilmar’s qfy report new launches that drove first quarter tata steel steel production crude steel revenue deliveries domestic deliveries automotive commercial vehicles industrial products branded products tata steel aashiyana tata steel qfy update india steel production at mt up onyear bpcl ioc ioc to invest rs cr in tn on slew of major projects “the total borrowing including interest of company rs crore repayable by against which only rs crore overdue as on june ” jal said out of total borrowing of rs crore company said that rs crore will get further reduced on transfer to proposed special purpose vehicle spv for which scheme of arrangement duly approved by all stakeholders pending sanction of national company law tribunal nclt “the entire loan in any case under restructuring” it added company said it has been taking tangible steps to reduce borrowings “post proposed divestment of cement business restructuring under consideration borrowing will get almost to nil upon implementation of revised restructuring plan” it said jal also said that icici bank had approached nclt allahabad on direction of rbi under section of insolvency bankruptcy code against company it has contested move “the matter pending to be decided simultaneously with scheme of arrangement for transfer of real estate to spv to be sanctioned by nclt” filing said in september icici bank filed an insolvency petition against jal country’s biggest lender sbi has also moved nclt against jal claiming a total default of rs crore as of september recently jal its group firms announced sale of its remaining cement assets to dalmia bharat ltd at an enterprise value of rs crore exit from sector as part of its strategy to reduce debt,business
12,engineering manufacturing technology led office space absorption levels in chennai as it grew by per cent between april june period a study undertaken by cbre south asia pvt ltd said on friday accordingly absorption level of office space stood at million square feet space between april june while it was million sq ft during same period of last financial year in capital also read china to end ant group’s regulatory revamp with fine of at least billion sources engineering manufacturing together accounted for per cent of office space followed by technology per cent flexible office space operators at per cent while remaining was contributed by other sectors also read nasscom it sector gccs on a hiring spree it firms look at their bench for talent adani wilmar qfy new launches whole wheat rice brand penetration premium quality horeca clients sales performance risk management branded food products adani wilmar’s qfy report new launches that drove first quarter tata steel steel production crude steel revenue deliveries domestic deliveries automotive commercial vehicles industrial products branded products tata steel aashiyana tata steel qfy update india steel production at mt up onyear dmart dmart hit by falling stock intense offline online competition majority of office space absorption was smallsize less than sq ft deals study said at panindia level during apriljune period office space supply grew by per cent hyderabad bengaluru chennai accounted for majority of absorption levels also read nykaa qfy update revenue to grow in midtwenties beauty personal care category eyeing growth in early twenties nonspecial economic zone sez segment continued to dominate development completions during apriljune period while sez segment accounted for per cent of new developments key transactions recorded in city during apriljune period include agilysys which leased sq ft in ramanujan it park indiqube leased sq ft in alpine cholamandalam finance leased sq ft in tamarai technology park study said,business
13,govt likely to come out with a mandate on green hydrogen usage mnre secretary senior ministry official was addressing international conference on green hydrogen icgh in national capital threeday conference concluded on friday written by pti july ist follow us green hydrogen industry news ministry of skill development entrepreneurship will take steps in coordination with mnre other ministries for building skillsets ensuring employability in this sector ie government likely to come out with a mandate on usage of green hydrogen in country secretary in ministry of new renewable energy mnre bhupinder singh bhalla said on friday senior ministry official was addressing international conference on green hydrogen icgh in national capital threeday conference concluded on friday also read rosneft appoints first indian g k satish on its board “we have a provision for that in hydrogen mission you know energy conservation act has been amended now there a legal provision to enforce mandate whenever it decided these kinds of enabling steps towards having a mandate as when we decide but we haven’t decided yet” bhalla said in reply to a question on a mandate for usage of green hydrogen also read nasscom it sector gccs on a hiring spree it firms look at their bench for talent adani wilmar qfy new launches whole wheat rice brand penetration premium quality horeca clients sales performance risk management branded food products adani wilmar’s qfy report new launches that drove first quarter tata steel steel production crude steel revenue deliveries domestic deliveries automotive commercial vehicles industrial products branded products tata steel aashiyana tata steel qfy update india steel production at mt up onyear dmart dmart hit by falling stock intense offline online competition government first trying to figure out whether it can collate demand aggregate make it more clear for industry to set up production facilities in due course of time in consultation with concerned ministries sectors a call will be taken in this regard he added bhalla said that export related topics were also discussed during a roundtable at conference singapore korea japan along with eu participated in roundtable representatives of these countries officials of indian government industry players attended session out of planned green hydrogen production by under mission around per cent would be for export secretary said official also informed that in another roundtable various industry players senior central government officials along with those of various coastal states participated also read kalyan jewellers to open showrooms in nonsouth markets before diwali “against an expectation of event witnessed over participants” secretary said he further said government also working on skilling reskilling workforce for smooth transition to green hydrogen ministry of skill development entrepreneurship will take steps in coordination with mnre other ministries for building skillsets ensuring employability in this sector suitable courses programmes will be developed for skilling of manpower across value chain including manufacturing of equipment green hydrogen project installation operations maintenance other important areas like green finance of hydrogen projects its storage transport codes framework research development related topics pilot projects were also discussed,business
14,rosneft appoints first indian g k satish on its board g k satish who retired as director for business development at ioc in one of three new faces appointed to strong board of directors of rosneft according to a statement issued by russian firm written by pti updated july ist follow us rosneft a d printed natural gas pipeline placed in front of displayed rosneft logo in this illustrationphoto source reuters russian energy giant rosneft has appointed a former indian oil corporation ioc director to its board in signs it may be looking at boosting trade links with india g k satish who retired as director for business development at ioc in one of three new faces appointed to strong board of directors of rosneft according to a statement issued by russian firm satish first indian to be appointed to board of rosneft rosneft has partnerships with satish’s former company in oil gas fields in russia it also sells crude oil to ioc other indian firms has in recent months started shipping naphtha to gujarat refiners also read india in talks to increase russian oil imports from rosneft his appointment assumes significance as rosneft now eyeing more deals with indian firms including sale of liquefied natural gas lng satish who has deep insight into indian oil gas market has expertise in petroleum product marketing petrochemicals lng international trade one of five independent directors on rosneft board also read adani wilmar qfy new launches whole wheat rice brand penetration premium quality horeca clients sales performance risk management branded food products adani wilmar’s qfy report new launches that drove first quarter nasscom it sector gccs on a hiring spree it firms look at their bench for talent tata steel steel production crude steel revenue deliveries domestic deliveries automotive commercial vehicles industrial products branded products tata steel aashiyana tata steel qfy update india steel production at mt up onyear dmart dmart hit by falling stock intense offline online competition during his stint at ioc board beginning september satish was also chairman of indianoil adani gas pvt ltd – joint venture ioc had formed with adani group for retailing cng piped cooking gas that venture helped adani group catapult into city gas it now biggest operator rosneft said its shareholders at annual general meeting on june elected a new board of directors consisting of members igor i sechin a confidant of russian president vladimir putin continues to be ceo chairman of management board of rosneft,business
15,china to end ant group’s regulatory revamp with fine of at least billion sources people’s bank of china pboc which has been driving revamp at ant after its billion ipo was scuttled in late expected to disclose fine in coming days sources told reuters written by reuters updated july ist follow us ant group a booth of ant group pictured at singapore fintech festival singapore photo source reuters chinese authorities likely to announce a fine of at least billion yuan billion on ant group as soon as friday sources with direct knowledge of matter said bringing an end to fintech company’s yearslong regulatory overhaul people’s bank of china pboc which has been driving revamp at ant after its billion ipo was scuttled in late expected to disclose fine in coming days sources told reuters also read chatgpt effect jack mabacked ant developing large language model tech penalty which would be one of largest ever fines for an internet company in country will help pave way for fintech firm to secure a financial holding company license seek growth eventually revive its plans for a stock market debut for broader technology sector an ant fine would mark a key step towards conclusion to china’s bruising crackdown on private enterprises that began with scrapping of ant’s ipo which has subsequently wiped billions off market value of several companies ant pboc did not immediately respond to a reuters request for comment sources did not wish to be named as they were not authorised to speak to media founded by billionaire jack ma ant undertakes payment processing consumer lending insurance products distribution among other businesses in mid before its ipo was pulled it was valued by some investors at more than billion since april ant has been formally undergoing a sweeping business restructuring which includes turning itself into a financial holding company that would subject it to rules capital requirements similar to those for banks also read adani wilmar qfy new launches whole wheat rice brand penetration premium quality horeca clients sales performance risk management branded food products adani wilmar’s qfy report new launches that drove first quarter tata steel steel production crude steel revenue deliveries domestic deliveries automotive commercial vehicles industrial products branded products tata steel aashiyana tata steel qfy update india steel production at mt up onyear dmart dmart hit by falling stock intense offline online competition,business
16,nykaa qfy update revenue to grow in midtwenties beauty personal care category eyeing growth in early twenties nykaa expects its consolidated revenue for first quarter of current financial year qfy to grow in midtwenties on a yearonyear basis on back of various indicators including moderating inflation etc written by tanya krishna july ist follow us nykaa fsn ecommerce ventures qfy quarter results revenue growth beauty personal care apparel nykaa fashion inflation bpc business slowdown discretionary spending order volume nykaa expects its consolidated revenue for first quarter of current financial year qfy to grow in midtwenties on a yearonyear basis fsn ecommerce ventures nykaa on friday released its first quarter update for financial year it expects its consolidated revenue for first quarter of current financial year qfy to grow in midtwenties on a yearonyear basis on back of various indicators including moderating inflation etc it said in a regulatory filing “macro indicators of indian economy reflect a healthy trend which augurs well for longterm health of industry gst collections continue to be robust inflation has started to moderate interest rates also showing signs of stabilizing” company said despite overall discretionary spend slowdown nykaa stated that consumption in beauty personal care bpc categories continue to remain strong in line with longer term trajectory “our bpc business nsv for quarter expected to grow in early twenties yoy this supported by strong urban demand in category” it added also read titan company qfy update revenue grows onyear with double digit growth in key consumer businesses further in apparel segment nykaa said that while industry has been impacted due to discretionary slowdown during quarter spending expected to improve with revival of seasonal demand “despite larger category trend our fashion business has witnessed relative resilience through gradual improvement in order volume with sustained aov yoy” it said nykaa fashion nsv for qfy expected to grow in low to midteens onyear for qfy revenue at a consolidated level expected to grow in midtwenties yoy,business
17,ubs revamps leadership in mideast wealth unit latin america credit suisse’s bruno daher will become christl novakovic’s deputy for middle east region among round of management changes announced in memos to staff bank also named sylvia coutinho brazil country head regional leader for latin america businesses all changes take effect july th written by bloomberg july ist follow us ubs credit suisse leadership revamp management changes wealth unit wealth management appointments ubs group ag revamped leadership of its middle east wealth unit named new management for its latin america businesses image reuters ubs group ag revamped leadership of its middle east wealth unit named new management for its latin america businesses as swiss lender integrates its oncerival credit suisse credit suisse’s bruno daher will become christl novakovic’s deputy for middle east region among round of management changes announced in memos to staff bank also named sylvia coutinho brazil country head regional leader for latin america businesses all changes take effect july th “i’m confident that each of these teams has right leaders to move our business forward ensure that we continue to serve our clients with excellence” iqbal khan who runs ubs’s wealth unit said in one of memos employees in credit suisse’s wealth unit being told to dust off their resumes ahead of a slew of appointments to lowerranking roles in global wealth management according to a memo seen by bloomberg news those wanting to be considered for roles were told to update their career aspirations openness to mobility by july also read,business
18,ioc to invest rs cr in tn on slew of major projects ioc’s tamil nadu office caters to fuel requirements of districts of state two districts of puducherry through a vast distribution network of retail outlets lpg distributors cng outlets among others written by sajan c kumar july ist follow us bpcl ioc company will also be spending rs crore on new retail outlets modernisation of existing ones indian oil corporation ioc planning to invest rs crore on various major projects in tamil nadu in next few years projects include new mtpa grassroots refinery along with cpcl at an estimated cost of rs crore at nagapattinam product pipelines at rs crore city gas distribution projects at rs crore gas pipelines including for lpg at rs crore ioc will also be building world’s secondlargest integrated lubes complex at ammulvoyyal village at an investment of crore besides a new terminal at asanur at rs crore vallur terminal at rs crore a captive lpg jetty at kamarajar port at crore company will also be spending rs crore on new retail outlets modernisation of existing ones also read bpcl to raise rs k cr to fuel netzero plans vc asokan executive director state head tamil nadu puducherry ioc said “ for ioc tamil nadu an important market we constantly investing in state to improve infrastructure product offerings services ioc has achieved ethanol blending with petrol in tamil nadu puducherry last year we working towards ethanol blended petrol by in line with government mandate” also read adani wilmar qfy new launches whole wheat rice brand penetration premium quality horeca clients sales performance risk management branded food products adani wilmar’s qfy report new launches that drove first quarter dmart dmart hit by falling stock intense offline online competition larsen toubro construction business office space order epc engineering civil works power transmission distribution lt construction bags significant epc order for developing office space in mumbai vedanta vedanta esl steel vedanta stake in esl steel past environmental issues vedanta’s plans to sell esl steel may get tepid response company venturing into setting up lng dispensing stations across country where lng will be dispensed for heavy vehicles for use as transport fuel “we establishing six lng dispensing stations in tamil nadu one in pilot stage at sriperumpudur other stations will be at ponneri othakadai nammakkal coimbatore konneripalli this fuel will be an alternative to diesal very useful for long haul vehicles” he said ioc has set up electric vehicle ev charging stations plans to set up another stations this year also read after bpcl ioc announces rights issue on retail front asokan said to meet growing demand ioc has called for setting up new retail outlerts in tamil nadu outlets in puducherry ioc market leader in tamil nadu with a share of in domestic lpg in petrol in diesel business he said company in talks with state governnments of tamil nadu kerala on green hydrogen dispensation making fuel available for transport industry ioc’s tamil nadu office caters to fuel requirements of districts of state two districts of puducherry through a vast distribution network of retail outlets lpg distributors cng outlets among others more stories on ioc lpg get live share market updates latest india news business news on financial express download financial express app for latest business news follow us on facebook twitter instagram,business
19,benchmark index resurfaces above point threshold by himalayan news service published am jul file pople throng at nepal stock exchange office in jamal to monitor share transactions in kathmandu on wednesday august photo rssfile pople throng at nepal stock exchange office in jamal to monitor share transactions in kathmandu on wednesday august photo rss kathmandu july nepal stock exchange nepse index surged by points per cent in trading week between june to resurface above point threshold last time index had closed above point mark was on february when market stood at points sensitive index which measures performance of class a stocks increased per cent to points in review period meanwhile float index that gauges performances of shares actually traded advanced by per cent points to settle at in review weekaltogether million shares were traded during review week through transactions that amounted to over rs billion weekly turnover rose by over per cent compared to previous week when million shares had changed hands through transactions that totalled rs billion it may be noted that market was open for only four days in review week compared to normal five days in previous weekthus average daily turnover jumped by a whopping per cent to rs billion this week against rs billion in past weekthe benchmark index had opened at points on sunday it rose by points by time of closing to points market gained points on monday to close at points before jumping by points on tuesday to close at points on wednesday benchmark index decreased by points to settle at points for week market remained closed on thursday on occasion of bakra eidall subgroups landed in green this weekmicrofinance led pack of gainers advancing by per cent to points followed by life insurance up by per cent to points finance rose by per cent to points mutual funds increased by per cent to points nonlife insurance gained per cent to points development banks by per cent to points banking by per cent to points others by per cent to points manufacturing processing by per cent to points trading by per cent to points hydropower by per cent to points hotels tourism by per cent to points investment by per cent to points,business
20,moctca gives threeday ultimatum to dg of caan by himalayan news service published am jul photo nishant pokhrelthtphoto nishant pokhreltht kathmandu july in a clearly visible widening rift between ministry of culture tourism civil aviation moctca civil aviation regulatory body of country former has yet again sought clarification from director general of civil aviation authority of nepal caan pradeep adhikari after he did not respond to ministrys previous letter within given deadline of seven days on june minister of culture tourism civil aviation sudan kirati had sent a ninepoint letter to caan dg adhikari in another letter dated today ministry has sought a clear response as to why caan dg has not yet provided clarifications sought earlier has given him three more days to respondwhile dg adhikari has not given any response to questions put forth by ministry he had taken to twitter on july to tweet that caan an autonomous authority in a meeting held on wednesday ministry has decided to proceed according to legal procedures if caan dg adhikari does not respond to clarifications sought by ministry within extended deadlinethe earlier nine questions to caan dg included seeking explanation over his contradictory statements regarding governments decision to split caan into two separate bodies as announced in policies programmes for upcoming fiscal year on may among other issuessimilarly ministry had expressed concerns about accident of two domestic aircraft three helicopters during adhikaris tenure as director general of caan raised questions on effectiveness of duties responsibilities undertaken by himmoreover stating that authority was facing challenges in operating regular flights at gautam buddha international airport in bhairahawa pokhara regional international airport which were constructed by taking foreign loans minister kirati had questioned caan dg adhikaris performance as authority responsible for operation of airports,business
21,hydropower sector incurred losses of rs billion to recent disaster ippan by rastriya samachar samiti published pm jul photo rssphoto rss kathmandu july hydropower sector incurred losses amounting to rs billion in flooding landslides in eastern districts on june flooding landslips swept away power plants in taplejung sankhuwasabha panchthar bhojpur district causing losses representatives of independent power producers association nepal ippan today met with prime minister pushpa kamal dahal prachanda shared thison occasion ippan president ganesh karki said operating hydropower projects under construction have been damaged in disaster resulting in a halt to production of megawatts electricity as a result million local people investors have been affected he said ippan urged pm to manage for nepal rastra bank to provide refinancing facility to reconstruct damaged projects extension of production date by two years waiving royalties until damaged project reproduce electricity exempting taxes customs on import of equipment for reconstructing damaged projectssimilarly their other demands were extension of period of power generation licence for damaged hydropower projects to years rescheduling of loan taken for reconstructing them to yearsthey also took agreement struck during pms recent visit to india for nepal to export megawatts electricity in a period of years positively in return pm dahal said he was serious about resolving problems raised by ippanyou have raised serious relevant issues government will work together with concerned sector to resolve them he saidhe also congratulated offered his best wishes to newly elected executive committee of ippan,business
22,cabinet decides to approve adbs million concessional loan by rastriya samachar samiti published am jul photo asian development bankphoto asian development bank kathmandu july government has decided to accept million in concessional loan from asian development bank adb as project assistance to run subregional transport enhancement project a meeting of council of ministers held on tuesday also decided to accept million loan assistance to be received from adb for budget assistance under customs logistic improvement programme minister for communications information technology rekha sharma saidaccording to adb programme expected to help implement current customs reform modernisation plan by improving customs processes through introduction of digital technologies including electronic payments of customs duties fees electronic submission of export documents similarly cabinet meeting has approved mcanepal to acquire land for power transmission line substation in sindhupalchowk palpa nawalparasi bardaghat sustapurba districts,business
23,pulsar ns usd ns usd rollout by himalayan news service published pm jul • biz briefs kathmandu hansraj hulaschand co pvt ltd sole authorised distributor of bajaj motorcycles in nepal has announced launch of allnew pulsar ns usd ns usdboth of these cuttingedge models set to redefine biking experience for passionate nepali riders as per a media release heart of pulsar ns usd in its advanced cc liquidcooled fuelinjected modern bsvi engine with a power output of ps at rpm a torque of nm at rpm it delivers thrilling acceleration exhilarating performance meanwhile pulsar ns usd equipped with a robust cc oilcooled bsvi engine with fi technology delivering a maximum power of ps at rpm a torque of nm at rpm it ensures thrilling acceleration responsive performancedesigned for ultimate control safety both pulsar ns usd ns usd equipped with dual channel abs pulsar ns usd ns usd now available in nepali market at prices of rs rs respectively,business
